"cod.coleta","tribo.planta","gen.planta","sp.planta","ordem.inseto","fam.inseto","gen.inseto","sp.inseto"
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Neomyopites","Neomyopites paulensis"
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Lepidoptera","Tortricidae","Phalonidia","Phalonidia squalida"
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0704","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.19"
"P0705","Plucheeae","Pterocaulon","Pterocaulon alopecuroides",,,,
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Neomyopites","Neomyopites paulensis"
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0706","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.20"
"P0707","Heliantheae","Bidens","Bidens gardneri","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Lepidoptera","Pterophoridae","Adaina","Adaina bipunctata"
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Trupanea","Trupanea sp.02"
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Trupanea","Trupanea sp.10"
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0708","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.15"
"P0709","Senecioneae","Emilia","Emilia coccinea",,,,
"P0710","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0710","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0710","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"P0710","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0710","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.18"
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Agromyzidae","Melanagromyza","Melanagromyza indet."
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0711","Eupatorieae","Chromolaena","Chromolaena squalida","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.06"
"P0712","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"P0713","Mutisieae","Gochnatia","Gochnatia pulchra","Diptera","Tephritidae","Tomoplagia","Tomoplagia trivittata"
"P0714","Vernonieae","Orthopappus","Orthopappus angustifolius",,,,
"P0715","Cichorioideae","Cichorioideae","Lessingianthus sp.10","Diptera","Tephritidae","Dictyotrypeta","Dictyotrypeta sp.24"
"P0716","Eupatorieae","Campuloclinium","Campuloclinium chlorolepis",,,,
"P0717","Vernonieae","Lessingianthus","Lessingianthus bardanoides",,,,
"P0718","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0718","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.07"
"P0719","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0719","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0719","Eupatorieae","Chromolaena","Chromolaena chaseae","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.03"
"P0720","Senecioneae","Emilia","Emilia sonchifolia",,,,
"P0721","Vernonieae","Elephantopus","Elephantopus ""erectus""",,,,
"P0801","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0801","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares fluminensis"
"P0801","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares sp.e"
"P0801","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0801","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.05"
"P0802","Eupatorieae","Mikania","Mikania cordifolia",,,,
"P0803","Eupatorieae","Chromolaena","Chromolaena squalida",,,,
"P0804","Vernonieae","Orthopappus","Orthopappus angustifolius","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"P0804","Vernonieae","Orthopappus","Orthopappus angustifolius","Diptera","Tephritidae","Tetreuaresta","Tetreuaresta obscuriventris."
"P0805","Mutisieae","Gochnatia","Gochnatia pulchra","Diptera","Tephritidae","Tomoplagia","Tomoplagia trivittata"
"P0806","Eupatorieae","Chromolaena","Chromolaena squalida",,,,
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Cecidochares","Cecidochares connexa cf."
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Neomyopites","Neomyopites paulensis"
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Trupanea","Trupanea sp.10"
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura biocellata"
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura chrysura"
"P0807","Eupatorieae","Chromolaena","Chromolaena pedunculosa","Diptera","Tephritidae","Xanthaciura","Xanthaciura sp.09"
"P0808","Vernonieae","Elephantopus","Elephantopus mollis",,,,
"P0809","Plucheeae","Pterocaulon","Pterocaulon alopecuroides",,,,
"P0810","Eupatorieae","Chromolaena","Chromolaena verbenacea",,,,
"P0811","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Gelechidae","Recurvaria","Recurvaria sp.01"
"P0811","Vernonieae","Vernonanthura","Vernonanthura membranacea","Lepidoptera","Pyralidae","Unadilla","Unadilla erronella"
"P0812","Eupatorieae","Chromolaena","Chromolaena odorata","Diptera","Tephritidae","Trupanea","Trupanea sp.02"
